,result,table,_time,x,y,z
,,0,2023-05-16T23:00:06.76Z,65,-28,4113
,,0,2023-05-16T23:00:06.78Z,57,-32,4135
,,0,2023-05-16T23:00:06.8Z,20,-26,4167
,,0,2023-05-16T23:00:06.82Z,50,-32,4147
,,0,2023-05-16T23:00:06.84Z,40,-11,4138
,,0,2023-05-16T23:00:06.86Z,52,-45,4135
,,0,2023-05-16T23:00:06.88Z,43,-35,4181
,,0,2023-05-16T23:00:06.9Z,30,-37,4143
,,0,2023-05-16T23:00:06.92Z,67,-2,4145
,,0,2023-05-16T23:00:06.94Z,53,-36,4130
,,0,2023-05-16T23:00:06.96Z,41,-21,4156
,,0,2023-05-16T23:00:06.98Z,41,-30,4137
,,0,2023-05-16T23:00:07Z,49,-29,4153
,,0,2023-05-16T23:00:07.02Z,58,-23,4151
,,0,2023-05-16T23:00:07.04Z,65,-50,4158
,,0,2023-05-16T23:00:07.06Z,55,-22,4078
,,0,2023-05-16T23:00:07.08Z,25,-43,4147
,,0,2023-05-16T23:00:07.1Z,48,-30,4153
,,0,2023-05-16T23:00:07.12Z,68,-35,4111
,,0,2023-05-16T23:00:07.14Z,28,-34,4146
,,0,2023-05-16T23:00:07.16Z,40,-26,4135
,,0,2023-05-16T23:00:07.18Z,46,-40,4133
,,0,2023-05-16T23:00:07.2Z,36,-24,4146
,,0,2023-05-16T23:00:07.22Z,51,-34,4106
,,0,2023-05-16T23:00:07.24Z,44,-35,4141
,,0,2023-05-16T23:00:07.26Z,26,-35,4124
,,0,2023-05-16T23:00:07.28Z,50,-26,4151
,,0,2023-05-16T23:00:07.3Z,59,-19,4156
,,0,2023-05-16T23:00:07.32Z,63,-33,4144
,,0,2023-05-16T23:00:07.34Z,40,-19,4153
,,0,2023-05-16T23:00:07.36Z,33,-8,4154
,,0,2023-05-16T23:00:07.38Z,44,-19,4161
,,0,2023-05-16T23:00:07.4Z,72,-42,4136
,,0,2023-05-16T23:00:07.42Z,42,-16,4150
,,0,2023-05-16T23:00:07.44Z,47,-38,4132
,,0,2023-05-16T23:00:07.46Z,41,-24,4144
,,0,2023-05-16T23:00:07.48Z,43,-22,4155
,,0,2023-05-16T23:00:07.5Z,76,-10,4125
,,0,2023-05-16T23:00:07.52Z,36,-17,4162
,,0,2023-05-16T23:00:07.54Z,55,-34,4126
,,0,2023-05-16T23:00:07.56Z,33,-46,4197
,,0,2023-05-16T23:00:07.58Z,42,-28,4117
,,0,2023-05-16T23:00:07.6Z,64,-26,4170
,,0,2023-05-16T23:00:07.62Z,48,-37,4125
,,0,2023-05-16T23:00:07.64Z,46,-37,4128
,,0,2023-05-16T23:00:07.66Z,47,-13,4113
,,0,2023-05-16T23:00:07.68Z,53,-53,4124
,,0,2023-05-16T23:00:07.7Z,13,-23,4110
,,0,2023-05-16T23:00:07.72Z,47,-8,4144
,,0,2023-05-16T23:00:07.74Z,33,-30,4159
,,0,2023-05-16T23:00:07.76Z,51,-18,4174
,,0,2023-05-16T23:00:07.78Z,46,-33,4154
,,0,2023-05-16T23:00:07.8Z,48,-35,4143
,,0,2023-05-16T23:00:07.82Z,68,-48,4140
,,0,2023-05-16T23:00:07.84Z,40,-6,4141
,,0,2023-05-16T23:00:07.86Z,61,-28,4143
,,0,2023-05-16T23:00:07.88Z,70,-30,4159
,,0,2023-05-16T23:00:07.9Z,52,-18,4112
,,0,2023-05-16T23:00:07.92Z,42,-28,4136
,,0,2023-05-16T23:00:07.94Z,54,-33,4122
,,0,2023-05-16T23:00:07.96Z,56,-32,4162
,,0,2023-05-16T23:00:07.98Z,52,-17,4159
,,0,2023-05-16T23:00:08Z,64,-7,4171
,,0,2023-05-16T23:00:08.02Z,52,-22,4155
,,0,2023-05-16T23:00:08.04Z,36,-23,4129
,,0,2023-05-16T23:00:08.06Z,48,-31,4109
,,0,2023-05-16T23:00:08.08Z,47,-20,4127
,,0,2023-05-16T23:00:08.1Z,58,-10,4162
,,0,2023-05-16T23:00:08.12Z,49,-49,4151
,,0,2023-05-16T23:00:08.14Z,38,-24,4141
,,0,2023-05-16T23:00:08.16Z,44,-20,4149
,,0,2023-05-16T23:00:08.18Z,46,-29,4134
,,0,2023-05-16T23:00:08.2Z,38,-30,4134
,,0,2023-05-16T23:00:08.22Z,41,-19,4118
,,0,2023-05-16T23:00:08.24Z,50,-22,4142
,,0,2023-05-16T23:00:08.26Z,33,-40,4101
,,0,2023-05-16T23:00:08.28Z,42,-41,4131
,,0,2023-05-16T23:00:08.3Z,13,-16,4103
,,0,2023-05-16T23:00:08.32Z,35,-15,4128
,,0,2023-05-16T23:00:08.34Z,30,-35,4113
,,0,2023-05-16T23:00:08.36Z,48,-41,4138
,,0,2023-05-16T23:00:08.38Z,55,-31,4141
,,0,2023-05-16T23:00:08.4Z,43,-13,4121
,,0,2023-05-16T23:00:08.42Z,67,-32,4138
,,0,2023-05-16T23:00:08.44Z,28,-30,4141
,,0,2023-05-16T23:00:08.46Z,39,-27,4156
,,0,2023-05-16T23:00:08.48Z,41,-22,4153
,,0,2023-05-16T23:00:08.5Z,33,-40,4114
,,0,2023-05-16T23:00:08.52Z,55,-25,4118
,,0,2023-05-16T23:00:08.54Z,37,-41,4144
,,0,2023-05-16T23:00:08.56Z,67,-30,4149
,,0,2023-05-16T23:00:08.58Z,58,-32,4138
,,0,2023-05-16T23:00:08.6Z,63,-16,4124
,,0,2023-05-16T23:00:08.62Z,40,-39,4174
,,0,2023-05-16T23:00:08.64Z,35,-42,4155
,,0,2023-05-16T23:00:08.66Z,45,-53,4130
,,0,2023-05-16T23:00:08.68Z,56,-36,4140
,,0,2023-05-16T23:00:08.7Z,58,-6,4139
,,0,2023-05-16T23:00:08.72Z,36,-10,4136
,,0,2023-05-16T23:00:08.74Z,22,-21,4145
,,0,2023-05-16T23:00:08.76Z,59,-43,4129
,,0,2023-05-16T23:00:08.781Z,44,-30,4147
,,0,2023-05-16T23:00:08.801Z,65,-33,4132
,,0,2023-05-16T23:00:08.821Z,60,-5,4117
,,0,2023-05-16T23:00:08.841Z,66,-19,4151
,,0,2023-05-16T23:00:08.861Z,55,-36,4132
,,0,2023-05-16T23:00:08.881Z,57,-11,4143
,,0,2023-05-16T23:00:08.901Z,35,-27,4153
,,0,2023-05-16T23:00:08.921Z,70,-34,4141
,,0,2023-05-16T23:00:08.941Z,74,-20,4134
,,0,2023-05-16T23:00:08.961Z,34,-20,4163
,,0,2023-05-16T23:00:08.981Z,45,-26,4121
,,0,2023-05-16T23:00:09.001Z,42,-12,4117
,,0,2023-05-16T23:00:09.021Z,28,-30,4175
,,0,2023-05-16T23:00:09.041Z,60,-13,4178
,,0,2023-05-16T23:00:09.061Z,61,-18,4137
,,0,2023-05-16T23:00:09.081Z,29,-53,4192
,,0,2023-05-16T23:00:09.101Z,13,-19,4142
,,0,2023-05-16T23:00:09.121Z,29,-48,4120
,,0,2023-05-16T23:00:09.141Z,68,-13,4130
,,0,2023-05-16T23:00:09.161Z,44,-13,4137
,,0,2023-05-16T23:00:09.181Z,32,-16,4155
,,0,2023-05-16T23:00:09.201Z,46,-13,4126
,,0,2023-05-16T23:00:09.221Z,47,-32,4133
,,0,2023-05-16T23:00:09.241Z,42,-22,4120
,,0,2023-05-16T23:00:09.261Z,44,-44,4162
,,0,2023-05-16T23:00:09.281Z,54,-46,4128
,,0,2023-05-16T23:00:09.301Z,33,-13,4127
,,0,2023-05-16T23:00:09.321Z,38,-40,4145
,,0,2023-05-16T23:00:09.341Z,57,-38,4156
,,0,2023-05-16T23:00:09.361Z,63,-34,4115
,,0,2023-05-16T23:00:09.381Z,74,-40,4133
,,0,2023-05-16T23:00:09.401Z,55,-42,4120
,,0,2023-05-16T23:00:09.421Z,42,-21,4143
,,0,2023-05-16T23:00:09.441Z,18,-42,4165
,,0,2023-05-16T23:00:09.461Z,21,-4,4178
,,0,2023-05-16T23:00:09.481Z,35,-24,4143
,,0,2023-05-16T23:00:09.501Z,62,-19,4151
,,0,2023-05-16T23:00:09.521Z,62,-22,4137
,,0,2023-05-16T23:00:09.541Z,43,-53,4118
,,0,2023-05-16T23:00:09.561Z,30,-18,4134
,,0,2023-05-16T23:00:09.581Z,52,-38,4126
,,0,2023-05-16T23:00:09.601Z,57,-23,4101
